station,distance_km,time_s,amplitude
CI.CLC,5.08341,30.6305,-1.10158e+08
CI.CLC,5.08341,30.6805,-1.10013e+08
CI.CLC,5.08341,30.7305,-1.07786e+08
CI.CLC,5.08341,30.7805,-1.08497e+08
CI.CLC,5.08341,30.8305,-1.08204e+08
CI.CLC,5.08341,30.8805,-1.06626e+08
CI.CLC,5.08341,30.9305,-1.07435e+08
CI.CLC,5.08341,30.9805,-1.09151e+08
CI.CLC,5.08341,31.0305,-1.06093e+08
CI.CLC,5.08341,31.0805,-1.05401e+08
CI.CLC,5.08341,31.1305,-1.04791e+08
CI.CLC,5.08341,31.1805,-1.04277e+08
CI.CLC,5.08341,31.2305,-1.0419e+08
CI.CLC,5.08341,31.2805,-1.04958e+08
CI.CLC,5.08341,31.3305,-1.05399e+08
CI.CLC,5.08341,31.3805,-1.05275e+08
CI.CLC,5.08341,31.4305,-1.06163e+08
CI.CLC,5.08341,31.4805,-1.08434e+08
CI.CLC,5.08341,31.5305,-1.09829e+08
CI.CLC,5.08341,31.5805,-1.0874e+08
CI.CLC,5.08341,31.6305,-1.07927e+08
CI.CLC,5.08341,31.6805,-1.09505e+08
CI.CLC,5.08341,31.7305,-1.09529e+08
CI.CLC,5.08341,31.7805,-1.08946e+08
CI.CLC,5.08341,31.8305,-1.09473e+08
CI.CLC,5.08341,31.8805,-1.08561e+08
CI.CLC,5.08341,31.9305,-1.08348e+08
CI.CLC,5.08341,31.9805,-1.09168e+08
CI.CLC,5.08341,32.0305,-1.09073e+08
CI.CLC,5.08341,32.0805,-1.09913e+08
CI.CLC,5.08341,32.1305,-1.08691e+08
CI.CLC,5.08341,32.1805,-1.08276e+08
CI.CLC,5.08341,32.2305,-1.0909e+08
CI.CLC,5.08341,32.2805,-1.09643e+08
CI.CLC,5.08341,32.3305,-1.09318e+08
CI.CLC,5.08341,32.3805,-1.09832e+08
CI.CLC,5.08341,32.4305,-1.10001e+08
CI.CLC,5.08341,32.4805,-1.09511e+08
