station,distance_km,sample,ratio
CI.DAW,55.7677,3.2328,0.999995
CI.DAW,55.7677,3.2828,1
CI.DAW,55.7677,3.3328,1.00001
CI.DAW,55.7677,3.3828,1.00001
CI.DAW,55.7677,3.4328,1.00002
CI.DAW,55.7677,3.4828,1.00002
CI.DAW,55.7677,3.5328,1.00003
CI.DAW,55.7677,3.5828,1.00003
CI.DAW,55.7677,3.6328,1.00003
CI.DAW,55.7677,3.6828,1.00003
CI.DAW,55.7677,3.7328,1.00008
CI.DAW,55.7677,3.7828,1.0003
CI.DAW,55.7677,3.8328,1.00051
CI.DAW,55.7677,3.8828,1.00072
CI.DAW,55.7677,3.9328,1.00093
CI.DAW,55.7677,3.9828,1.00114
CI.DAW,55.7677,4.0328,1.00132
CI.DAW,55.7677,4.0828,1.00116
CI.DAW,55.7677,4.1328,1.001
CI.DAW,55.7677,4.1828,1.00084
CI.DAW,55.7677,4.2328,1.00069
CI.DAW,55.7677,4.2828,1.00053
CI.DAW,55.7677,4.3328,1.00035
CI.DAW,55.7677,4.3828,1.00034
CI.DAW,55.7677,4.4328,1.00033
CI.DAW,55.7677,4.4828,1.00032
CI.DAW,55.7677,4.5328,1.0003
CI.DAW,55.7677,4.5828,1.00029
CI.DAW,55.7677,4.6328,1.00027
CI.DAW,55.7677,4.6828,1.00025
CI.DAW,55.7677,4.7328,1.00024
CI.DAW,55.7677,4.7828,1.00022
CI.DAW,55.7677,4.8328,1.0002
CI.DAW,55.7677,4.8828,1.00019
CI.DAW,55.7677,4.9328,1.00017
CI.DAW,55.7677,4.9828,1.00015
CI.DAW,55.7677,5.0328,1.00013
CI.DAW,55.7677,5.0828,1.00012
CI.DAW,55.7677,5.1328,1.0001
CI.DAW,55.7677,5.1828,1.00008
CI.DAW,55.7677,5.2328,1.00006
CI.DAW,55.7677,5.2828,1.00004
CI.DAW,55.7677,5.3328,1.00003
CI.DAW,55.7677,5.3828,1.00002
CI.DAW,55.7677,5.4328,1
CI.DAW,55.7677,5.4828,0.999985
CI.DAW,55.7677,5.5328,0.99997
CI.DAW,55.7677,5.5828,0.999952
CI.DAW,55.7677,5.6328,0.999933
CI.DAW,55.7677,5.6828,0.999913
CI.DAW,55.7677,5.7328,0.99989
CI.DAW,55.7677,5.7828,0.999867
CI.DAW,55.7677,5.8328,0.999842
CI.DAW,55.7677,5.8828,0.999817
CI.DAW,55.7677,5.9328,0.999791
CI.DAW,55.7677,5.9828,0.999767
CI.DAW,55.7677,6.0328,0.999744
CI.DAW,55.7677,6.0828,0.99972
CI.DAW,55.7677,6.1328,0.999699
CI.DAW,55.7677,6.1828,0.999679
CI.DAW,55.7677,6.2328,0.999657
CI.DAW,55.7677,6.2828,0.999639
CI.DAW,55.7677,6.3328,0.99962
CI.DAW,55.7677,6.3828,0.999602
CI.DAW,55.7677,6.4328,0.999584
CI.DAW,55.7677,6.4828,0.999572
CI.DAW,55.7677,6.5328,0.999561
CI.DAW,55.7677,6.5828,0.999551
CI.DAW,55.7677,6.6328,0.999542
CI.DAW,55.7677,6.6828,0.999533
CI.DAW,55.7677,6.7328,0.999527
CI.DAW,55.7677,6.7828,0.999521
CI.DAW,55.7677,6.8328,0.999514
CI.DAW,55.7677,6.8828,0.999508
CI.DAW,55.7677,6.9328,0.999503
CI.DAW,55.7677,6.9828,0.999501
CI.DAW,55.7677,7.0328,0.999499
CI.DAW,55.7677,7.0828,0.999497
CI.DAW,55.7677,7.1328,0.999522
CI.DAW,55.7677,7.1828,0.999657
CI.DAW,55.7677,7.2328,0.99979
CI.DAW,55.7677,7.2828,0.999922
CI.DAW,55.7677,7.3328,1.00006
CI.DAW,55.7677,7.3828,1.00019
CI.DAW,55.7677,7.4328,1.00029
CI.DAW,55.7677,7.4828,1.00028
CI.DAW,55.7677,7.5328,1.00026
CI.DAW,55.7677,7.5828,1.00019
CI.DAW,55.7677,7.6328,1.0001
CI.DAW,55.7677,7.6828,1
CI.DAW,55.7677,7.7328,0.999753
CI.DAW,55.7677,7.7828,0.999392
CI.DAW,55.7677,7.8328,0.998966
CI.DAW,55.7677,7.8828,0.998596
CI.DAW,55.7677,7.9328,0.998135
CI.DAW,55.7677,7.9828,0.997445
CI.DAW,55.7677,8.0328,0.996855
CI.DAW,55.7677,8.0828,0.996527
CI.DAW,55.7677,8.1328,0.996463
CI.DAW,55.7677,8.1828,22.357
CI.DAW,55.7677,8.2328,24.3144
CI.DAW,55.7677,8.2828,24.8968
CI.DAW,55.7677,8.3328,25.248
CI.DAW,55.7677,8.3828,25.483
CI.DAW,55.7677,8.4328,25.6512
CI.DAW,55.7677,8.4828,20.4255
CI.DAW,55.7677,8.5328,15.2057
CI.DAW,55.7677,8.5828,11.4309
CI.DAW,55.7677,8.6328,7.66014
CI.DAW,55.7677,8.6828,7.41817
CI.DAW,55.7677,8.7328,7.24077
CI.DAW,55.7677,8.7828,9.53236
CI.DAW,55.7677,8.8328,10.2309
CI.DAW,55.7677,8.8828,10.874
CI.DAW,55.7677,8.9328,11.4681
CI.DAW,55.7677,8.9828,9.33258
CI.DAW,55.7677,9.0328,7.3488
CI.DAW,55.7677,9.0828,5.50048
CI.DAW,55.7677,9.1328,5.06792
CI.DAW,55.7677,9.1828,4.39798
CI.DAW,55.7677,9.2328,3.74094
CI.DAW,55.7677,9.2828,3.17666
CI.DAW,55.7677,9.3328,2.62656
CI.DAW,55.7677,9.3828,2.09053
CI.DAW,55.7677,9.4328,1.85972
CI.DAW,55.7677,9.4828,1.92259
CI.DAW,55.7677,9.5328,1.98398
CI.DAW,55.7677,9.5828,1.95985
CI.DAW,55.7677,9.6328,1.93667
CI.DAW,55.7677,9.6828,1.91421
CI.DAW,55.7677,9.7328,1.89198
CI.DAW,55.7677,9.7828,1.86999
CI.DAW,55.7677,9.8328,1.84901
CI.DAW,55.7677,9.8828,1.82842
CI.DAW,55.7677,9.9328,1.8076
CI.DAW,55.7677,9.9828,1.78685
CI.DAW,55.7677,10.0328,1.76695
CI.DAW,55.7677,10.0828,2.93025
CI.DAW,55.7677,10.1328,4.94067
CI.DAW,55.7677,10.1828,6.60107
CI.DAW,55.7677,10.2328,7.99623
CI.DAW,55.7677,10.2828,9.18475
CI.DAW,55.7677,10.3328,10.2091
CI.DAW,55.7677,10.3828,10.3255
CI.DAW,55.7677,10.4328,9.69971
CI.DAW,55.7677,10.4828,9.14598
CI.DAW,55.7677,10.5328,8.65199
CI.DAW,55.7677,10.5828,7.21512
CI.DAW,55.7677,10.6328,5.77896
